RPG-(Random-Password-Generator)|1.5|Générateur de mots de passe|https://raw.githubusercontent.com/tatascorp/mavapps/main/MAVAPPS/Plugins/RPG.ctplugin|MAV|RPG||
Mask attacks!|1.2|Calculateur de masque de sous réseau|https://raw.githubusercontent.com/tatascorp/mavapps/main/MAVAPPS/Plugins/MaskAttacks.ctplugin|MAV|MaskAttacks||
DNS Lookup|1.2|NsLookup en mode graphique|https://raw.githubusercontent.com/tatascorp/mavapps/main/MAVAPPS/Plugins/DNSLookup.ctplugin|MAV|DNSLookup||
PDF1|1.3|Fusionner des fichiers PDF|https://raw.githubusercontent.com/tatascorp/mavapps/main/MAVAPPS/Plugins/PDF1.ctplugin|MAV|PDF1||
