NOM;VERSION;DESCRIPTION;LIEN
PasswordGen;1.1;Générateur de mots de passe;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/Oups
DNSinfo;1.2;Nslookup en mode graphique;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/Oups
